,Date,CloseSharePrice,model,office,candidate,win_prob
136,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007575757575757576
137,8/29/2020 12:00:00 AM,0.48,PredictIt,P,Trump,0.3636363636363636
138,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007575757575757576
139,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007575757575757576
140,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007575757575757576
141,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007575757575757576
142,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007575757575757576
143,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007575757575757576
144,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007575757575757576
145,8/29/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007575757575757576
146,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007575757575757576
147,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007575757575757576
148,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007575757575757576
149,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007575757575757576
150,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007575757575757576
151,8/29/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015151515151515152
152,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007575757575757576
153,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007575757575757576
154,8/29/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007575757575757576
155,8/29/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007575757575757576
156,8/30/2020 12:00:00 AM,0.05,PredictIt,P,Harris,0.03816793893129771
157,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007633587786259542
158,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007633587786259542
159,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007633587786259542
160,8/30/2020 12:00:00 AM,0.56,PredictIt,P,Biden,0.4274809160305344
161,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007633587786259542
162,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007633587786259542
163,8/30/2020 12:00:00 AM,0.46,PredictIt,P,Trump,0.3511450381679389
164,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007633587786259542
165,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007633587786259542
166,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007633587786259542
167,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007633587786259542
168,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007633587786259542
169,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007633587786259542
170,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007633587786259542
171,8/30/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007633587786259542
172,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007633587786259542
173,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007633587786259542
174,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007633587786259542
175,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007633587786259542
176,8/30/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007633587786259542
